Company_Code,Company_Name,Metric_Category,Metric_Name,Claimed_Value,Metric_Unit,Claim_Verified,Verification_Details,Discrepancy_Detected,Discrepancy_Level,Trust_Score,Risk_Score,Actual_Environmental_Score,Analysis_Date
LTIM,LTIMindtree,Social,Female Employee Percentage,14.4,%,Reported,Social metric: 14.4,False,None,6.0,1,2.0,2026-09-03
LTIM,LTIMindtree,Social,Employee Turnover Rate,14.4,%,Reported,Social metric: 14.4,False,None,6.0,1,2.0,2026-09-03
LTIM,LTIMindtree,Social,Training Hours per Employee,4.0,Hours,Reported,Social metric: 4.0,False,None,6.0,1,2.0,2026-09-03
LTIM,LTIMindtree,Social,Health and Safety Incidents,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTIM,LTIMindtree,Social,CSR Expenditure,,Crores INR,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTIM,LTIMindtree,Governance,Board Size,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTIM,LTIMindtree,Governance,Independent Directors Percentage,7.0,%,Reported,Governance metric: 7.0,False,None,6.0,1,2.0,2026-09-03
LTIM,LTIMindtree,Governance,Female Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTIM,LTIMindtree,Governance,Board Meeting Frequency,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTIM,LTIMindtree,Governance,Audit Committee Size,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTIM,LTIMindtree,Governance,Ethics Policy Violations,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Environmental,Total Energy Consumption,,GWh,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Environmental,Renewable Energy Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Environmental,Total Water Consumption,,KL,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Environmental,Water Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Environmental,Total Waste Generated,,MT,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Environmental,Waste Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Social,Total Employees,14.0,Count,Reported,Social metric: 14.0,False,None,6.0,1,2.0,2026-09-03
MPHASIS,Mphasis,Social,Female Employee Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Social,Employee Turnover Rate,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
