Company_Code,Company_Name,Metric_Category,Metric_Name,Metric_Value,Unit,Page_Number,Verified,Extraction_Method,Confidence_Score,Validation_Status,Needs_Manual_Review,Extraction_Date,Notes
TECHM,Tech Mahindra,Environmental,Waste Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Social,Total Employees,7827.0,Count,3.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: total employees; Within expected range
TECHM,Tech Mahindra,Social,Female Employee Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Social,Employee Turnover Rate,90.0,%,2.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: turnover; Within expected range
TECHM,Tech Mahindra,Social,Training Hours per Employee,,Hours,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Social,Health and Safety Incidents,2024.0,Count,18.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: lost time injury; Within expected range
TECHM,Tech Mahindra,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Governance,Board Size,10.0,Count,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: board of directors; Within expected range
TECHM,Tech Mahindra,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Governance,Ethics Policy Violations,25.0,Count,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: complaints; Within expected range
LTIM,LTIMindtree,Environmental,Total Energy Consumption,25.0,GWh,3.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: energy consumption; Within expected range
LTIM,LTIMindtree,Environmental,Renewable Energy Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
LTIM,LTIMindtree,Environmental,Total Water Consumption,25.0,KL,3.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: water consumption; Within expected range
LTIM,LTIMindtree,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
